wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
aab,,,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,,PG,,,,,,,,,,,,,,2 SVO,2 Final
aar,aiw,aari1239,Aari,6,36.58333333,South Omotic,Afro-Asiatic,Africa,ET,,,2 Strongly suffixing,,,9 No plural,,,1 Case suffixes,,4 No possessive affixes,,,,6 No question particle
aba,aau,abau1245,Abau,-4,141.25,Upper Sepik,Sepik,Papunesia,PG,,,,,,,,,,,,,,1 SOV,
abb,shu,chad1249,Arabic (Abbéché Chad),13.83333333,20.83333333,Semitic,Afro-Asiatic,Africa,TD,,,,,,,,,,,,,,,
abd,abi,abid1235,Abidji,5.666666667,-4.583333333,Kwa,Niger-Congo,Africa,CI,,,,,,,,,,,,,,,
abe,apc,nort3139,Arabic (Beirut),33.91666667,35.5,Semitic,Afro-Asiatic,Eurasia,LB,,,,,,,,,,,,,,,
abh,abv,baha1259,Arabic (Bahrain),26,50.5,Semitic,Afro-Asiatic,Eurasia,BH,,,,,,,,,,,,,,,
abi,axb,abip1241,Abipón,-29,-61,South Guaicuruan,Guaicuruan,South America,AR,3 Average,,2 Strongly suffixing,,,2 Plural suffix,,1 No morphological case-marking,9 No case affixes or adpositional clitics,,3 Prefixes and suffixes,2 No inflectional future,4 No perfect,2 SVO,
abk,abk,abkh1244,Abkhaz,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Eurasia,GE,5 High,1 No tones,4 Equal prefixing and suffixing,3 Three,2 Sex-based,2 Plural suffix,,2 2 cases,9 No case affixes or adpositional clitics,"5 First/one-th, two-th, three-th",1 Possessive prefixes,1 Inflectional future exists,3 Other perfect,1 SOV,6 No question particle
abm,akz,alab1237,Alabama,32.33333333,-87.41666667,Muskogean,Muskogean,North America,US,4 Moderately high,,,,,,,,,,,,,,
abn,ard,arab1267,Arabana,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,,,1 Case suffixes,1 None,,,,1 SOV,
abo,arv,arbo1245,Arbore,5,36.75,Lowland East Cushitic,Afro-Asiatic,Africa,ET,,,,2 Two,2 Sex-based,,,,,,,,,1 SOV,
abu,kgr,abun1252,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,Papunesia,ID,,,1 Little affixation,,,9 No plural,1 No politeness distinction,,9 No case affixes or adpositional clitics,,,,,2 SVO,2 Final
abv,abz,abui1241,Abui,-8.25,124.6666667,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,,,4 Equal prefixing and suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,
abw,abe,west2630,Abenaki (Western),44,-72.25,Algonquian,Algic,North America,US CA,,,,,,,,,,,,,,,
abz,abq,abaz1241,Abaza,44,42,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,,,,,,,
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID,,,1 Little affixation,,,9 No plural,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,7 No dominant order,5 In either of two positions
acg,aca,acha1250,Achagua,4.416666667,-72.25,Inland Northern Arawakan,Arawakan,South America,CO,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,2 SVO,
ach,guq,ache1246,Aché,-25.25,-55.16666667,Tupi-Guaraní,Tupian,South America,PY,2 Moderately low,,,,,,,,,,,,,,
aci,acr,quic1275,Achí,15.16666667,-90.5,Mayan,Mayan,North America,GT,,,,,,,,,,"6 First, two-th, three-th",,,,,
acl,ach,acol1236,Acholi,3,32.66666667,Nilotic,Eastern Sudanic,Africa,UG SD,,,4 Equal prefixing and suffixing,,,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,
acm,acv,achu1247,Achumawi,41.5,-121,Palaihnihan,Hokan,North America,US,3 Average,2 Simple tone system,,,,,,,1 Case suffixes,,,,,2 SVO,
acn,acn,acha1249,Achang,25,98.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM CN,,,,,,,,,,,,,,,2 Final
aco,kjq,west2632,Acoma,34.91666667,-107.5833333,Keresan,Keresan,North America,US,5 High,3 Complex tone system,4 Equal prefixing and suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,1 No morphological case-marking,,"5 First/one-th, two-th, three-th",1 Possessive prefixes,2 No inflectional future,4 No perfect,7 No dominant order,
acu,acu,achu1248,Achuar,-2.66667,-76,Jivaroan,Jivaroan,South America,PE,,,2 Strongly suffixing,,,,,,1 Case suffixes,,2 Possessive suffixes,,,,6 No question particle
ada,ads,adam1238,Adamorobe Sign Language,5.833333333,-0.1666666667,Sign Languages,other,Africa,GH,,,,,,,,,,,,,,,
adg,adn,adan1251,Adang,-8.2,124,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,,,1 Little affixation,,,9 No plural,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,
adi,adj,adio1239,Adioukrou,5.416666667,-4.583333333,Kwa,Niger-Congo,Africa,CI,,,5 Weakly prefixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,2 SVO,2 Final
adk,ano,ando1256,Andoke,-0.6666666667,-72,Andoke,Andoke,South America,CO,1 Low,2 Simple tone system,,,,,,,1 Case suffixes,,,,,,
adn,adt,adny1235,Adynyamathanha,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,,,,1 Case suffixes,,,,,7 No dominant order,
adt,ady,adyg1241,Adyghe (Temirgoy),45.21666667,39.7,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,,,,,,,
ady,ady,adyg1241,Adyghe (Abzakh),45.23333333,40.58333333,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,,,,,,,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Papunesia,PG,4 Moderately high,,,,,,,,,,,,,2 SVO,6 No question particle
aea,ale,aleu1260,Aleut (Eastern),54.75,-164,Aleut,Eskimo-Aleut,North America,US,5 High,1 No tones,,,,,,,,,,,,,
aeg,arz,egyp1253,Arabic (Egyptian),30,31,Semitic,Afro-Asiatic,Africa,EG,4 Moderately high,1 No tones,3 Weakly suffixing,2 Two,2 Sex-based,6 Mixed morphological plural,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,"6 First, two-th, three-th",2 Possessive suffixes,1 Inflectional future exists,4 No perfect,2 SVO,1 Initial
ael,ayl,liby1240,Arabic (Eastern Libyan),32,22,Semitic,Afro-Asiatic,Africa,LY,,,,,,,,,,,,,,,
afr,afr,afri1274,Afrikaans,-31,22,Germanic,Indo-European,Africa,ZA,,,,,,,,,,"6 First, two-th, three-th",,2 No inflectional future,"2 From 'finish', 'already'",,
